repo_id,name,owner,stars,forks,language,topics,description,industry_code,industry_name,industry_confidence
244460835,Riskfolio-Lib,dcajasn,3815,612,C++,"asset-allocation, convex-optimization, cvar-optimization, cvxpy, drawdown-model, duration-matching, efficient-frontier, finance, investment, investment-analysis, portfolio-management, portfolio-optimization, principal-components-regression, quantitative-finance, risk-contribution, risk-factors, risk-parity, sharpe-ratio, stepwise-regression, trading",Portfolio Optimization and Quantitative Strategic Asset Allocation in Python,K,Financial and insurance activities,high
10300592,Lightning.NET,CoreyKaylor,453,91,C#,,.NET library for LMDB key-value store,J,Information and communication,high
671751674,simple-openai,sashirestela,376,56,Java,"ai, api, awesome, azure-openai, chatgpt, client, deepseek, gemini, gen-ai, generative-ai, gpt, httpclient, java, llm, mistral, okhttp, openai, realtime, simple, websocket",A Java library to use the OpenAI Api in the simplest possible way.,J,Information and communication,high
447062522,sublimepatch,CodigoCristo,301,74,C,,Crack para Sublime Text y Merge,J,Information and communication,high
134213365,yuml-diagram,jaime-olivares,250,28,JavaScript,"npm, sequence-diagram, uml, uml-diagram, yuml, yuml-syntax",UML diagramming package based on the yUML syntax,M,"Professional, scientific activities",high
49774582,DragonUnPACKer,elbereth,239,22,Pascal,,Free/Open source game file resource explorer/unpacking tool made easy! ,R,"Arts, entertainment and recreation",high
38088623,slim-session,bryanjhv,233,36,PHP,"middleware, php, session, slim-3",A very simple session middleware for Slim Framework 2/3/4.,J,Information and communication,high
831260164,react-video-editor,Pablituuu,230,59,TypeScript,"canvas, development, editor, fabricjs, moveable, reactjs, render, vercel, video, zustand",Online video editor alternative to canva and capcut. React video editor.,R,"Arts, entertainment and recreation",high
292127993,Machine-Learning-Deep-Learning-Resources,heygonzalocaira,206,56,,"awesomelist, deep-learning, deep-neural-networks, machine-learning, neural-network, resources",Completely free access list of resources to learn machine learning and deep learning👨🏻‍💻🚀,M,"Professional, scientific activities",high
465525987,estela,bitmakerla,195,18,TypeScript,"crawling, django, docker, hacktoberfest, kubernetes, python, python-requests, react, requests, scraper, scraping, scrapy, scrapy-visualization, scrapyd, web-scraping, webscraping-python","estela, an elastic web scraping cluster 🕸",J,Information and communication,high
42634933,zipstorer,jaime-olivares,192,66,C#,"async-await, compression, cross-platform, csharp, deflate, mono, netcore, netframework, netstandard, nuget, stream, zip, zip-storage",A Pure C# Class to Store Files in Zip,J,Information and communication,high
686721173,easyreadme,xavimondev,183,15,TypeScript,"gpt-3, gpt-3-5-turbo, hacktoberfest, nextjs, openai, readme, readme-generator, readme-template, shadcn-ui, tailwind-css, tiptap-editor, typescript, upstash-redis, vercel-ia, vercel-kv, zustand",Easyreadme helps you simplify README creation and generate visually stunning ones with the help of AI and elegant pre-designed templates.,J,Information and communication,high
48884355,HorizontalFloatingHeaderLayout,cruzdiego,159,21,Swift,,"Floating headers with horizontal scrolling layout for UICollectionView, inspired by iOS native Emoji Keyboard layout",J,Information and communication,high
393101600,Dotfiles-for-Windows-11,JuanOrbegoso,138,40,PowerShell,"chocolatey, docker, dotfiles, git, notepad-plus-plus, oh-my-posh, powershell, vim, vimrc, vscode, windows, windows-11, windows-terminal, wsl",Dotfiles script to setup a development environment in Microsoft Windows 11.,J,Information and communication,high
28095848,Plus-for-Trello,zmandel,129,26,JavaScript,,"Plus for Trello chrome extension, web & mobile app",J,Information and communication,high
874580968,starter,edgefirst-dev,128,7,TypeScript,,A full-stack starter kit for Edge-first applications built with React on top of Cloudflare Developer Platform,J,Information and communication,high
